>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
21m | S 7 | 526.1 | 527.2 | +1.1 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   2.7m
21m | S 7 | 526.4 | 527.6 | +1.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   2.9m
22m | S 7 | 526.8 | 528.0 | +1.2 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   3.0m
22m | S 7 | 527.3 | 528.4 | +1.1 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   3.2m
22m | S 7 | 527.7 | 528.8 | +1.1 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   3.4m
22m | S 7 | 528.0 | 529.2 | +1.2 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   3.5m
22m | S 7 | 528.5 | 529.6 | +1.2 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   3.7m
22m | S 7 | 528.9 | 530.1 | +1.2 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |   3.9m
23m | S 7 | 529.2 | 530.5 | +1.3 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |   4.0m
23m | S 7 | 529.6 | 530.9 | +1.3 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |   4.2m
23m | S 7 | 530.1 | 531.4 | +1.3 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |   4.4m
23m | S 7 | 530.5 | 531.8 | +1.3 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   4.6m
23m | S 7 | 530.9 | 532.2 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   4.7m
23m | S 7 | 531.3 | 532.6 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   4.9m
24m | S 7 | 531.6 | 533.0 | +1.4 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |   5.0m
24m | S 7 | 532.1 | 533.4 | +1.3 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   5.2m
24m | S 7 | 532.5 | 533.9 | +1.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   5.4m
24m | S 7 | 532.9 | 534.3 | +1.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |   5.6m
24m | S 7 | 533.3 | 534.7 | +1.4 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   5.7m
24m | S 7 | 533.8 | 535.1 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   5.9m
25m | S 7 | 534.2 | 535.5 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   6.0m
25m | S 7 | 534.6 | 536.0 | +1.4 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   6.2m
25m | S 7 | 535.1 | 536.4 | +1.3 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |   6.4m
25m | S 7 | 535.5 | 536.8 | +1.3 |  2.49 |  4.6 |  45.9% |  ON | ramp  | +6.4% |   6.6m
25m | S 7 | 535.9 | 537.2 | +1.3 |  2.49 |  4.6 |  45.9% |  ON | ramp  | +6.4% |   6.7m
25m | S 7 | 536.4 | 537.6 | +1.2 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |   6.9m
26m | S 7 | 536.8 | 538.1 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   7.1m
26m | S 7 | 537.2 | 538.5 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   7.2m
26m | S 7 | 537.6 | 538.9 | +1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   7.4m
26m | S 7 | 538.2 | 539.3 | +1.1 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   7.6m
26m | S 7 | 538.6 | 539.7 | +1.1 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   7.7m
26m | S 7 | 539.0 | 540.2 | +1.2 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   7.9m
27m | S 7 | 539.4 | 540.6 | +1.2 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   8.1m
27m | S 7 | 539.9 | 541.0 | +1.1 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   8.2m
27m | S 7 | 540.3 | 541.4 | +1.1 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   8.4m
27m | S 7 | 540.7 | 541.8 | +1.1 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   8.6m
27m | S 7 | 541.2 | 542.2 | +1.0 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   8.7m
27m | S 7 | 541.6 | 542.6 | +1.1 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   8.9m
28m | S 7 | 542.1 | 543.1 | +1.0 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   9.1m
28m | S 7 | 542.5 | 543.5 | +1.0 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   9.2m
28m | S 7 | 543.1 | 544.0 | +0.9 |  2.71 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   9.4m
28m | S 7 | 543.5 | 544.4 | +0.9 |  2.71 |  4.6 |  45.5% |  ON | ramp  | +6.4% |   9.6m
28m | S 7 | 543.9 | 544.8 | +0.9 |  2.57 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   9.8m
28m | S 7 | 544.3 | 545.2 | +0.9 |  2.57 |  4.6 |  45.8% |  ON | ramp  | +6.4% |   9.9m
29m | S 7 | 544.8 | 545.6 | +0.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  10.1m
29m | S 7 | 545.3 | 546.1 | +0.8 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  10.3m
29m | S 7 | 545.7 | 546.5 | +0.8 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  10.4m
29m | S 7 | 546.1 | 546.9 | +0.8 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  10.6m
29m | S 7 | 546.5 | 547.3 | +0.8 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  10.8m
29m | S 7 | 547.0 | 547.7 | +0.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  10.9m
30m | S 7 | 547.5 | 548.2 | +0.7 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  11.1m
30m | S 7 | 547.9 | 548.6 | +0.7 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  11.3m
30m | S 7 | 548.4 | 549.0 | +0.6 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  11.4m
30m | S 7 | 548.8 | 549.4 | +0.6 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  11.6m
30m | S 7 | 549.3 | 549.9 | +0.6 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  11.8m
31m | S 7 | 549.8 | 550.3 | +0.5 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  12.0m
31m | S 7 | 550.1 | 550.7 | +0.6 |  2.49 |  4.6 |  45.9% |  ON | ramp  | +6.4% |  12.1m
31m | S 7 | 550.5 | 551.1 | +0.6 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  12.3m
31m | S 7 | 551.0 | 551.5 | +0.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  12.4m
31m | S 7 | 551.4 | 551.9 | +0.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  12.6m
31m | S 7 | 551.9 | 552.4 | +0.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  12.8m
32m | S 7 | 552.3 | 552.8 | +0.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  13.0m
32m | S 7 | 552.7 | 553.2 | +0.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  13.1m
32m | S 7 | 553.1 | 553.6 | +0.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  13.3m
32m | S 7 | 553.6 | 554.0 | +0.4 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  13.4m
32m | S 7 | 553.9 | 554.4 | +0.5 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  13.6m
32m | S 7 | 554.3 | 554.9 | +0.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  13.8m
33m | S 7 | 554.7 | 555.3 | +0.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  14.0m
33m | S 7 | 555.0 | 555.7 | +0.7 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  14.1m
33m | S 7 | 555.4 | 556.1 | +0.7 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  14.3m
33m | S 7 | 555.7 | 556.5 | +0.8 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  14.4m
33m | S 7 | 556.1 | 556.9 | +0.8 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  14.6m
33m | S 7 | 556.4 | 557.4 | +1.0 |  2.10 |  4.7 |  46.7% |  ON | ramp  | +6.4% |  14.8m
34m | S 7 | 556.7 | 557.8 | +1.1 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  15.0m
34m | S 7 | 557.0 | 558.2 | +1.2 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  15.1m
34m | S 7 | 557.4 | 558.6 | +1.2 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  15.3m
34m | S 7 | 557.7 | 559.0 | +1.3 |  1.95 |  4.7 |  47.0% |  ON | ramp  | +6.4% |  15.4m
34m | S 7 | 558.0 | 559.5 | +1.5 |  1.90 |  4.7 |  47.1% |  ON | ramp  | +6.4% |  15.6m
34m | S 7 | 558.4 | 559.9 | +1.5 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  15.8m
35m | S 7 | 558.8 | 560.3 | +1.5 |  2.05 |  4.7 |  46.8% |  ON | ramp  | +6.4% |  16.0m
35m | S 7 | 559.2 | 560.7 | +1.5 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  16.1m
35m | S 7 | 559.6 | 561.2 | +1.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  16.3m
35m | S 7 | 560.1 | 561.6 | +1.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  16.5m
35m | S 7 | 560.6 | 562.0 | +1.4 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  16.6m
35m | S 7 | 560.9 | 562.4 | +1.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  16.8m
36m | S 7 | 561.5 | 562.9 | +1.4 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  17.0m
36m | S 7 | 562.0 | 563.3 | +1.3 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  17.2m
36m | S 7 | 562.6 | 563.7 | +1.1 |  2.93 |  4.5 |  45.0% |  ON | ramp  | +6.4% |  17.3m
36m | S 7 | 563.0 | 564.1 | +1.1 |  3.07 |  4.5 |  44.8% |  ON | ramp  | +6.4% |  17.5m
36m | S 7 | 563.5 | 564.5 | +1.0 |  3.00 |  4.5 |  44.9% |  ON | ramp  | +6.4% |  17.6m
36m | S 7 | 564.0 | 564.9 | +0.9 |  3.00 |  4.5 |  44.9% |  ON | ramp  | +6.4% |  17.8m
37m | S 7 | 564.5 | 565.4 | +0.9 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  18.0m
37m | S 7 | 564.9 | 565.8 | +0.9 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  18.2m
37m | S 7 | 565.3 | 566.2 | +0.9 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  18.3m
37m | S 7 | 565.8 | 566.6 | +0.9 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  18.5m
37m | S 7 | 566.4 | 567.1 | +0.7 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  18.7m
37m | S 7 | 566.8 | 567.5 | +0.7 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  18.8m
38m | S 7 | 567.4 | 567.9 | +0.5 |  3.07 |  4.5 |  44.8% |  ON | ramp  | +6.4% |  19.0m
38m | S 7 | 567.8 | 568.3 | +0.5 |  3.00 |  4.5 |  44.9% |  ON | ramp  | +6.4% |  19.2m
38m | S 7 | 568.2 | 568.7 | +0.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  19.3m
38m | S 7 | 568.7 | 569.2 | +0.5 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  19.5m
38m | S 7 | 569.2 | 569.6 | +0.4 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  19.7m
38m | S 7 | 569.6 | 570.0 | +0.4 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  19.8m
39m | S 7 | 570.1 | 570.4 | +0.3 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  20.0m
39m | S 7 | 570.6 | 570.8 | +0.2 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  20.2m
39m | S 7 | 571.0 | 571.2 | +0.2 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  20.3m
39m | S 7 | 571.5 | 571.6 | +0.2 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  20.5m
39m | S 7 | 571.9 | 572.1 | +0.2 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  20.7m
39m | S 7 | 572.5 | 572.5 | -0.0 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  20.8m
40m | S 7 | 572.8 | 572.9 | +0.1 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  21.0m
40m | S 7 | 573.2 | 573.3 | +0.1 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  21.2m
40m | S 7 | 573.7 | 573.8 | +0.1 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  21.4m
40m | S 7 | 574.3 | 574.2 | -0.1 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  21.5m
40m | S 7 | 574.7 | 574.6 | -0.1 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  21.7m
40m | S 7 | 575.2 | 575.0 | -0.2 |  2.93 |  4.5 |  45.0% |  ON | ramp  | +6.4% |  21.8m
41m | S 7 | 575.6 | 575.4 | -0.2 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  22.0m
41m | S 7 | 576.1 | 575.9 | -0.2 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  22.2m
41m | S 7 | 576.5 | 576.3 | -0.2 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  22.4m
41m | S 7 | 577.0 | 576.7 | -0.3 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  22.5m
41m | S 7 | 577.4 | 577.1 | -0.3 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  22.7m
41m | S 7 | 577.9 | 577.5 | -0.4 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  22.8m
42m | S 7 | 578.4 | 577.9 | -0.5 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  23.0m
42m | S 7 | 578.9 | 578.4 | -0.5 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  23.2m
42m | S 7 | 579.4 | 578.8 | -0.6 |  3.00 |  4.5 |  44.9% |  ON | ramp  | +6.4% |  23.4m
42m | S 7 | 579.8 | 579.2 | -0.6 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  23.5m
42m | S 7 | 580.2 | 579.6 | -0.6 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  23.7m
42m | S 7 | 580.6 | 580.0 | -0.6 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  23.8m
43m | S 7 | 581.1 | 580.4 | -0.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  24.0m
43m | S 7 | 581.6 | 580.9 | -0.7 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  24.2m
43m | S 7 | 582.0 | 581.3 | -0.7 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  24.4m
43m | S 7 | 582.6 | 581.8 | -0.8 |  2.86 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  24.6m
43m | S 7 | 582.9 | 582.2 | -0.7 |  2.57 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  24.7m
43m | S 7 | 583.4 | 582.6 | -0.8 |  2.57 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  24.9m
44m | S 7 | 583.9 | 583.0 | -0.9 |  2.71 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  25.0m
44m | S 7 | 584.3 | 583.4 | -0.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  25.2m
44m | S 7 | 584.8 | 583.9 | -0.9 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  25.4m
44m | S 7 | 585.2 | 584.3 | -0.9 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  25.6m
44m | S 7 | 585.8 | 584.7 | -1.1 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  25.7m
44m | S 7 | 586.1 | 585.1 | -1.0 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  25.9m
45m | S 7 | 586.6 | 585.5 | -1.1 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  26.0m
45m | S 7 | 587.1 | 585.9 | -1.2 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  26.2m
45m | S 7 | 587.5 | 586.4 | -1.1 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  26.4m
45m | S 7 | 588.0 | 586.8 | -1.2 |  2.85 |  4.5 |  45.2% |  ON | ramp  | +6.4% |  26.6m
45m | S 7 | 588.4 | 587.2 | -1.2 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  26.7m
45m | S 7 | 588.8 | 587.6 | -1.1 |  2.49 |  4.6 |  45.9% |  ON | ramp  | +6.4% |  26.9m
46m | S 7 | 589.3 | 588.1 | -1.2 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  27.1m
46m | S 7 | 589.7 | 588.5 | -1.2 |  2.49 |  4.6 |  45.9% |  ON | ramp  | +6.4% |  27.2m
46m | S 7 | 590.2 | 588.9 | -1.3 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  27.4m
46m | S 7 | 590.5 | 589.3 | -1.2 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  27.6m
46m | S 7 | 591.0 | 589.7 | -1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  27.7m
46m | S 7 | 591.5 | 590.2 | -1.3 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  27.9m
47m | S 7 | 591.9 | 590.6 | -1.3 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  28.1m
47m | S 7 | 592.3 | 591.0 | -1.3 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  28.2m
47m | S 7 | 592.8 | 591.4 | -1.4 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  28.4m
47m | S 7 | 593.3 | 591.8 | -1.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  28.6m
47m | S 7 | 593.7 | 592.2 | -1.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  28.7m
47m | S 7 | 594.1 | 592.6 | -1.4 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  28.9m
48m | S 7 | 594.6 | 593.1 | -1.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  29.1m
48m | S 7 | 594.9 | 593.5 | -1.4 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  29.2m
48m | S 7 | 595.4 | 593.9 | -1.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  29.4m
48m | S 7 | 595.8 | 594.3 | -1.5 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  29.6m
48m | S 7 | 596.3 | 594.7 | -1.6 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  29.7m
48m | S 7 | 596.7 | 595.2 | -1.5 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  29.9m
49m | S 7 | 597.3 | 595.6 | -1.7 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  30.1m
49m | S 7 | 597.7 | 596.0 | -1.7 |  2.78 |  4.5 |  45.3% |  ON | ramp  | +6.4% |  30.2m
49m | S 7 | 598.1 | 596.4 | -1.7 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  30.4m
49m | S 7 | 598.5 | 596.9 | -1.6 |  2.63 |  4.6 |  45.6% |  ON | ramp  | +6.4% |  30.6m
49m | S 7 | 599.0 | 597.3 | -1.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  30.8m
49m | S 7 | 599.4 | 597.7 | -1.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  30.9m
50m | S 7 | 599.9 | 598.1 | -1.8 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  31.1m
50m | S 7 | 600.3 | 598.5 | -1.8 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  31.2m
50m | S 7 | 600.7 | 598.9 | -1.8 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  31.4m
50m | S 7 | 601.1 | 599.4 | -1.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  31.6m
50m | S 7 | 601.7 | 599.8 | -1.9 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  31.8m
51m | S 7 | 602.1 | 600.2 | -1.9 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  31.9m
51m | S 7 | 602.5 | 600.7 | -1.8 |  2.57 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  32.1m
51m | S 7 | 602.9 | 601.1 | -1.8 |  2.57 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  32.3m
51m | S 7 | 603.3 | 601.5 | -1.8 |  2.29 |  4.6 |  46.3% |  ON | ramp  | +6.4% |  32.4m
51m | S 7 | 603.8 | 601.9 | -1.9 |  2.43 |  4.6 |  46.0% |  ON | ramp  | +6.4% |  32.6m
51m | S 7 | 604.2 | 602.4 | -1.8 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  32.8m
52m | S 7 | 604.5 | 602.8 | -1.7 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  33.0m
52m | S 7 | 605.1 | 603.2 | -1.9 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  33.1m
52m | S 7 | 605.5 | 603.6 | -1.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  33.3m
52m | S 7 | 605.9 | 604.0 | -1.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  33.4m
52m | S 7 | 606.3 | 604.4 | -1.9 |  2.70 |  4.6 |  45.5% |  ON | ramp  | +6.4% |  33.6m
52m | S 7 | 606.8 | 604.9 | -1.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  33.8m
53m | S 7 | 607.2 | 605.3 | -1.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  34.0m
53m | S 7 | 607.5 | 605.7 | -1.8 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  34.1m
53m | S 7 | 608.0 | 606.1 | -1.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  34.3m
53m | S 7 | 608.5 | 606.5 | -2.0 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  34.4m
53m | S 7 | 608.8 | 606.9 | -1.9 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  34.6m
53m | S 7 | 609.2 | 607.4 | -1.8 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  34.8m
54m | S 7 | 609.7 | 607.8 | -1.9 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  35.0m
54m | S 7 | 610.0 | 608.2 | -1.8 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  35.1m
54m | S 7 | 610.4 | 608.6 | -1.8 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  35.3m
54m | S 7 | 610.8 | 609.0 | -1.8 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  35.4m
54m | S 7 | 611.2 | 609.4 | -1.8 |  2.25 |  4.6 |  46.4% |  ON | ramp  | +6.4% |  35.6m
54m | S 7 | 611.7 | 609.9 | -1.8 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  35.8m
55m | S 7 | 612.0 | 610.3 | -1.7 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  36.0m
55m | S 7 | 612.4 | 610.7 | -1.7 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  36.1m
55m | S 7 | 612.8 | 611.2 | -1.6 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  36.3m
55m | S 7 | 613.2 | 611.6 | -1.6 |  2.20 |  4.7 |  46.5% |  ON | ramp  | +6.4% |  36.5m
55m | S 7 | 613.6 | 612.0 | -1.6 |  2.34 |  4.6 |  46.2% |  ON | ramp  | +6.4% |  36.6m
55m | S 7 | 614.0 | 612.4 | -1.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  36.8m
56m | S 7 | 614.4 | 612.8 | -1.6 |  2.40 |  4.6 |  46.1% |  ON | ramp  | +6.4% |  37.0m
56m | S 7 | 614.9 | 613.2 | -1.7 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  37.1m
56m | S 7 | 615.3 | 613.6 | -1.6 |  2.55 |  4.6 |  45.8% |  ON | ramp  | +6.4% |  37.3m
