>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
22m | S 6 | 417.5 | 426.9 | +9.4 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  19.1m
22m | S 6 | 418.0 | 427.4 | +9.4 |  2.70 |  3.3 |  33.5% |  ON | ramp  | +4.4% |  19.3m
22m | S 6 | 418.4 | 427.8 | +9.4 |  2.49 |  3.4 |  33.9% |  ON | ramp  | +4.4% |  19.5m
22m | S 6 | 418.9 | 428.2 | +9.3 |  2.63 |  3.4 |  33.6% |  ON | ramp  | +4.4% |  19.6m
23m | S 6 | 419.3 | 428.6 | +9.3 |  2.63 |  3.4 |  33.6% |  ON | ramp  | +4.4% |  19.8m
23m | S 6 | 419.7 | 429.1 | +9.4 |  2.49 |  3.4 |  33.9% |  ON | ramp  | +4.4% |  20.0m
23m | S 6 | 420.1 | 429.5 | +9.4 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  20.2m
23m | S 6 | 420.6 | 429.9 | +9.3 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  20.3m
23m | S 6 | 421.1 | 430.4 | +9.2 |  2.63 |  3.4 |  33.6% |  ON | ramp  | +4.4% |  20.5m
23m | S 6 | 421.5 | 430.8 | +9.3 |  2.63 |  3.4 |  33.6% |  ON | ramp  | +4.4% |  20.7m
24m | S 6 | 422.0 | 431.2 | +9.2 |  2.78 |  3.3 |  33.3% |  ON | ramp  | +4.4% |  20.8m
24m | S 6 | 422.3 | 431.6 | +9.3 |  2.49 |  3.4 |  33.9% |  ON | ramp  | +4.4% |  21.0m
24m | S 6 | 422.8 | 432.0 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  21.2m
24m | S 6 | 423.2 | 432.4 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  21.3m
24m | S 6 | 423.6 | 432.8 | +9.2 |  2.40 |  3.4 |  34.1% |  ON | ramp  | +4.4% |  21.5m
24m | S 6 | 424.2 | 433.3 | +9.1 |  2.85 |  3.3 |  33.2% |  ON | ramp  | +4.4% |  21.7m
25m | S 6 | 424.5 | 433.7 | +9.2 |  2.55 |  3.4 |  33.8% |  ON | ramp  | +4.4% |  21.8m
